id,city_id,name,created_at,updated_at
350901,3509,Jombang,2025-04-25 09:50:43.937+00,2025-04-25 09:50:43.937+00
350902,3509,Kencong,2025-04-25 09:50:44.414+00,2025-04-25 09:50:44.414+00
350903,3509,Sumberbaru,2025-04-25 09:50:44.55+00,2025-04-25 09:50:44.55+00
350904,3509,Gumukmas,2025-04-25 09:50:44.053+00,2025-04-25 09:50:44.053+00
350905,3509,Umbulsari,2025-04-25 09:50:44.177+00,2025-04-25 09:50:44.177+00
350906,3509,Tanggul,2025-04-25 09:50:43.629+00,2025-04-25 09:50:43.629+00
350907,3509,Semboro,2025-04-25 09:50:43.778+00,2025-04-25 09:50:43.778+00
350908,3509,Puger,2025-04-25 09:50:42.993+00,2025-04-25 09:50:42.993+00
350909,3509,Bangsalsari,2025-04-25 09:50:43.425+00,2025-04-25 09:50:43.425+00
350910,3509,Balung,2025-04-25 09:50:45.931+00,2025-04-25 09:50:45.931+00
350911,3509,Wuluhan,2025-04-25 09:50:45.538+00,2025-04-25 09:50:45.538+00
350912,3509,Ambulu,2025-04-25 09:50:45.768+00,2025-04-25 09:50:45.768+00
350913,3509,Rambipuji,2025-04-25 09:50:46.345+00,2025-04-25 09:50:46.345+00
350914,3509,Panti,2025-04-25 09:50:46.504+00,2025-04-25 09:50:46.504+00
350915,3509,Sukorambi,2025-04-25 09:50:46.049+00,2025-04-25 09:50:46.049+00
350916,3509,Jenggawah,2025-04-25 09:50:46.221+00,2025-04-25 09:50:46.221+00
350917,3509,Ajung,2025-04-25 09:50:44.858+00,2025-04-25 09:50:44.858+00
350918,3509,Tempurejo,2025-04-25 09:50:44.981+00,2025-04-25 09:50:44.981+00
350919,3509,Kaliwates,2025-04-25 09:50:44.718+00,2025-04-25 09:50:44.718+00
350920,3509,Patrang,2025-04-25 09:50:47.247+00,2025-04-25 09:50:47.247+00
350921,3509,Sumbersari,2025-04-25 09:50:47.485+00,2025-04-25 09:50:47.485+00
350922,3509,Arjasa,2025-04-25 09:50:46.996+00,2025-04-25 09:50:46.996+00
350923,3509,Mumbulsari,2025-04-25 09:50:47.11+00,2025-04-25 09:50:47.11+00
350924,3509,Pakusari,2025-04-25 09:50:48.006+00,2025-04-25 09:50:48.006+00
350925,3509,Jelbuk,2025-04-25 09:50:48.142+00,2025-04-25 09:50:48.142+00
350926,3509,Mayang,2025-04-25 09:50:47.611+00,2025-04-25 09:50:47.611+00
350927,3509,Kalisat,2025-04-25 09:50:47.868+00,2025-04-25 09:50:47.868+00
350928,3509,Ledokombo,2025-04-25 09:50:46.659+00,2025-04-25 09:50:46.659+00
350929,3509,Sukowono,2025-04-25 09:50:46.811+00,2025-04-25 09:50:46.811+00
350930,3509,Silo,2025-04-25 09:50:41.814+00,2025-04-25 09:50:41.814+00
350931,3509,Sumberjambe,2025-04-25 09:50:42.638+00,2025-04-25 09:50:42.638+00