code_unit,district_id,name,description,type,created_at,updated_at,address,land_area,latitude,longitude,location,phone
UT-0068,350920,Polres Jember,Unit Jember is categorized as POLRES and operates in the Jember area.,polres,2025-04-25 09:50:48.324169+00,2025-04-25 09:50:48.324169+00,"Jl. R.A. Kartini No.17, Sawahan Cantian, Kepatihan, Kec. Patrang, Kabupaten Jember, Jawa Timur 68137",,-8.17092173103588,113.705480518207,0101000020E6100000826AC297266D5C401BF3990D835720C0,331484285
UT-0069,350930,Polsek Silo,Unit Silo is categorized as POLSEK and operates in the Silo area.,polsek,2025-04-25 09:50:48.339495+00,2025-04-25 09:50:48.339495+00,"Krajan, Sumberjati, Kec. Silo, Kabupaten Jember, Jawa Timur 68184",,-8.18621408051639,113.876536568063,0101000020E61000000965D52C19785C40C6BEB373575F20C0,0331521010
UT-0070,350931,Polsek Sumberjambe,Unit Sumberjambe is categorized as POLSEK and operates in the Sumberjambe area.,polsek,2025-04-25 09:50:48.350404+00,2025-04-25 09:50:48.350404+00,"Jl. PB. Sudirman No.81, Pasar, Sumberjambe, Kec. Sumberjambe, Kabupaten Jember, Jawa Timur 68195",,-8.06755724887193,113.900112147976,0101000020E61000008392FB6F9B795C407D061DDD962220C0,0331566268
UT-0071,350908,Polsek Puger,Unit Puger is categorized as POLSEK and operates in the Puger area.,polsek,2025-04-25 09:50:48.361883+00,2025-04-25 09:50:48.361883+00,"Jl. Achmad Yani 57 Puger, Umbulsari, Kabupaten Jember, Jawa Timur 68164",,-8.36649460219204,113.472968652148,0101000020E610000091404F1E455E5C409326352EA5BB20C0,0336721119
UT-0072,350909,Polsek Bangsalsari,Unit Bangsalsari is categorized as POLSEK and operates in the Bangsalsari area.,polsek,2025-04-25 09:50:48.372513+00,2025-04-25 09:50:48.372513+00,"Jl. Jenderal Ahmad Yani No.16, Kalisatan, Bangsalsari, Kec. Bangsalsari, Kabupaten Jember, Jawa Timur 68154",,-8.20090108010506,113.533809861966,0101000020E610000048DBD6F029625C408B90A181DC6620C0,0331711401
UT-0073,350906,Polsek Tanggul,Unit Tanggul is categorized as POLSEK and operates in the Tanggul area.,polsek,2025-04-25 09:50:48.383372+00,2025-04-25 09:50:48.383372+00,"Jl. Urip Sumoharjo N0.50 Tanggul 68155, Tanggul Wetan, Tanggul, Jawa Timur 68155",,-8.16605008923455,113.461150444827,0101000020E610000057C4277D835D5C4043856D84045520C0,0336441110
UT-0074,350907,Polsek Semboro,Unit Semboro is categorized as POLSEK and operates in the Semboro area.,polsek,2025-04-25 09:50:48.398359+00,2025-04-25 09:50:48.398359+00,"Jl. Telomoyo Dusun Semboro pasar, Desa Semboro, Jember, Jawa Timur 68157",,-8.20624211097906,113.434807048468,0101000020E6100000624FF1E0D35B5C40176DE390986920C0,0336444200
UT-0075,350901,Polsek Jombang,Unit Jombang is categorized as POLSEK and operates in the Jombang area.,polsek,2025-04-25 09:50:48.409818+00,2025-04-25 09:50:48.409818+00,"Jl. KH. Dewantara No. 88 Jombang, Jember, Jawa Timur 68168",,-8.24593809398526,113.32178564847,0101000020E61000000D20D52298545C40B8030D99EB7D20C0,0336321100
UT-0076,350904,Polsek Gumukmas,Unit Gumukmas is categorized as POLSEK and operates in the Gumukmas area.,polsek,2025-04-25 09:50:48.430304+00,2025-04-25 09:50:48.430304+00,"Jl. Achmad Yani 89 Gumukmas, Gumukmas, Jember, Jawa Timur 68165",,-8.31508705124681,113.412968673611,0101000020E6100000A2DB28146E5A5C400AFF081753A120C0,0336321391
UT-0077,350905,Polsek Umbulsari,Unit Umbulsari is categorized as POLSEK and operates in the Umbulsari area.,polsek,2025-04-25 09:50:48.440321+00,2025-04-25 09:50:48.440321+00,"Jl. Budi Utomo No.16, Mumbulsari, Kabupaten Jember, Jawa Timur 68174",,-8.25285408976718,113.742212552164,0101000020E6100000688E1369806F5C40766B5C17768120C0,0331793262
UT-0078,350902,Polsek Kencong,Unit Kencong is categorized as POLSEK and operates in the Kencong area.,polsek,2025-04-25 09:50:48.450759+00,2025-04-25 09:50:48.450759+00,"Jl. Diponegoro, No. 35, Kencong, Jember 68167",,-8.27979445346788,113.376640361946,0101000020E6100000593A2DE01A585C40547EF637418F20C0,0336321210
UT-0079,350903,Polsek Sumberbaru,Unit Sumberbaru is categorized as POLSEK and operates in the Sumberbaru area.,polsek,2025-04-25 09:50:48.460413+00,2025-04-25 09:50:48.460413+00,"Jl. Panglima Besar Sudirman, No. 3, Sumberbaru, Jember, Jawa Timur 68173",,-8.11925572743138,113.393836763804,0101000020E61000000B201D9F34595C40605B32160F3D20C0,0336324210
UT-0080,350919,Polsek Kaliwates,Unit Kaliwates is categorized as POLSEK and operates in the Kaliwates area.,polsek,2025-04-25 09:50:48.471137+00,2025-04-25 09:50:48.471137+00,"Jl. Hayam Wuruk No.153 Kelurahan Sempusari Kecamatan Kaliwates Kabupaten Jember, Jawa Timur",,-8.18652464693621,113.672500846567,0101000020E610000068A2FD400A6B5C405AFA9428805F20C0,0331484026
UT-0081,350917,Polsek Ajung,Unit Ajung is categorized as POLSEK and operates in the Ajung area.,polsek,2025-04-25 09:50:48.494595+00,2025-04-25 09:50:48.494595+00,"Ajung Kulon, Ajung, Kec. Ajung, Kabupaten Jember, Jawa Timur 68175",,-8.2150168595693,113.668072771751,0101000020E610000031814CB4C16A5C40A6E097B0166E20C0,
UT-0082,350918,Polsek Tempurejo,Unit Tempurejo is categorized as POLSEK and operates in the Tempurejo area.,polsek,2025-04-25 09:50:48.506991+00,2025-04-25 09:50:48.506991+00,"Jl. KH. Abdurrahman, Tempurejo, Jember, Jawa Timur 68173",,-8.30059219585402,113.688580419645,0101000020E6100000A4C29BB3116C5C406E406538E79920C0,0331757410
UT-0083,350911,Polsek Wuluhan,Unit Wuluhan is categorized as POLSEK and operates in the Wuluhan area.,polsek,2025-04-25 09:50:48.517485+00,2025-04-25 09:50:48.517485+00,"Jl. Ambulu, Wuluhan, Kabupaten Jember, Jawa Timur 68162",,-8.3383560226923,113.551827877284,0101000020E61000002D7DDF2551635C4073BC27003DAD20C0,0336881003
UT-0084,350912,Polsek Ambulu,Unit Ambulu is categorized as POLSEK and operates in the Ambulu area.,polsek,2025-04-25 09:50:48.52774+00,2025-04-25 09:50:48.52774+00,"Jl. Raya Suyitman, Ambulu, Jember, Jawa Timur 68172",,-8.34407980922306,113.607319127041,0101000020E610000016380B51DE665C4068A78F3A2BB020C0,0336881007
UT-0085,350910,Polsek Balung,Unit Balung is categorized as POLSEK and operates in the Balung area.,polsek,2025-04-25 09:50:48.547664+00,2025-04-25 09:50:48.547664+00,"Jl. Rambipuji-Balung, Jember, Jawa Timur 68152",,-8.26971853953942,113.540654661932,0101000020E610000062DB02169A625C40B5E4648C188A20C0,0331621210
UT-0086,350915,Polsek Sukorambi,Unit Sukorambi is categorized as POLSEK and operates in the Sukorambi area.,polsek,2025-04-25 09:50:48.557825+00,2025-04-25 09:50:48.557825+00,"Jl. Mujahir No. 5, Sukorambi, Jember Lor, Patrang, Jember, Jawa Timur 68118",,-8.16993031106472,113.660558688969,0101000020E6100000798DF397466A5C40813E111B015720C0,0331489523
UT-0087,350916,Polsek Jenggawah,Unit Jenggawah is categorized as POLSEK and operates in the Jenggawah area.,polsek,2025-04-25 09:50:48.568726+00,2025-04-25 09:50:48.568726+00,"Jl. Kawi No. 23 Jenggawah, Kab. Jember, Propinsi Jawa Timur 68171",,-8.25679112069159,113.652220670714,0101000020E61000007A9FC4FBBD695C40118C32207A8320C0,0331757330
UT-0088,350913,Polsek Rambipuji,Unit Rambipuji is categorized as POLSEK and operates in the Rambipuji area.,polsek,2025-04-25 09:50:48.579236+00,2025-04-25 09:50:48.579236+00,"Jl. Dharmawangsa 47 Rambipuji, Curahancar, Rambipuji, Kec. Rambipuji, Kabupaten Jember, Jawa Timur 68152",,-8.20428708115188,113.613282348477,0101000020E61000000F7B9B0440675C40D315F950986820C0,0331711430
UT-0089,350914,Polsek Panti,Unit Panti is categorized as POLSEK and operates in the Panti area.,polsek,2025-04-25 09:50:48.589492+00,2025-04-25 09:50:48.589492+00,"Jalan Panglima Besar Sudirman 19 Desa Panti Kecamatan Panti, Jember Jawa Timur 68153",,-8.17194959166762,113.620224563318,0101000020E61000001CE85DC2B1675C40C48BE1C6095820C0,0331711330
UT-0090,350928,Polsek Ledokombo,Unit Ledokombo is categorized as POLSEK and operates in the Ledokombo area.,polsek,2025-04-25 09:50:48.599367+00,2025-04-25 09:50:48.599367+00,"Jl. Bungur Ledokombo No.114, Pasar, Ledokombo, Kec. Ledokombo, Kabupaten Jember, Jawa Timur 68196",,-8.135526826985,113.873701409345,0101000020E6100000C7E650B9EA775C403043B3C5634520C0,0331591011
UT-0091,350929,Polsek Sukowono,Unit Sukowono is categorized as POLSEK and operates in the Sukowono area.,polsek,2025-04-25 09:50:48.609812+00,2025-04-25 09:50:48.609812+00,"Jl. Chairil Anwar, Krajan, Cumedak, Jember, Kabupaten Jember, Jawa Timur 64194",,-8.05107980376388,113.835062850321,0101000020E6100000ED0E74AB71755C40CE4DCD21271A20C0,0331566210
UT-0092,350922,Polsek Arjasa,Unit Arjasa is categorized as POLSEK and operates in the Arjasa area.,polsek,2025-04-25 09:50:48.619042+00,2025-04-25 09:50:48.619042+00,"Jl. Supriadi No.101, Krajan Selatan, Patemon, Kec. Pakusari, Kabupaten Jember, Jawa Timur 68191",,-8.12219680795897,113.747316126802,0101000020E6100000D5180507D46F5C40FFB77B94903E20C0,0331540116
UT-0093,350923,Polsek Mumbulsari,Unit Mumbulsari is categorized as POLSEK and operates in the Mumbulsari area.,polsek,2025-04-25 09:50:48.628891+00,2025-04-25 09:50:48.628891+00,"Jl. Budi Utomo No.16, Mumbulsari, Kabupaten Jember, Jawa Timur 68174",,-8.25285408976718,113.742212552164,0101000020E6100000688E1369806F5C40766B5C17768120C0,0331793262
UT-0094,350920,Polsek Patrang,Unit Patrang is categorized as POLSEK and operates in the Patrang area.,polsek,2025-04-25 09:50:48.638919+00,2025-04-25 09:50:48.638919+00,"Jl. R.A. Kartini No.17, Sawahan Cantian, Kepatihan, Kec. Patrang, Kabupaten Jember, Jawa Timur 68137",,-8.17092173103588,113.705480518207,0101000020E6100000826AC297266D5C401BF3990D835720C0,331484285
UT-0095,350921,Polsek Sumbersari,Unit Sumbersari is categorized as POLSEK and operates in the Sumbersari area.,polsek,2025-04-25 09:50:48.648649+00,2025-04-25 09:50:48.648649+00,"Jl. MT Haryono, Sumbersari, Kabupaten Jember, Jawa Timur 68124",,-8.18329630406613,113.74236702752,0101000020E6100000F034FEF0826F5C4027E25E03D95D20C0,0331330647
UT-0096,350926,Polsek Mayang,Unit Mayang is categorized as POLSEK and operates in the Mayang area.,polsek,2025-04-25 09:50:48.658439+00,2025-04-25 09:50:48.658439+00,"Jl. Banyuwangi, Mayang, Majang, Jawa Timur 68182",,-8.17735615314344,113.799562031274,0101000020E61000007DDC39062C735C40ABFDFA6CCE5A20C0,0331591512
UT-0097,350927,Polsek Kalisat,Unit Kalisat is categorized as POLSEK and operates in the Kalisat area.,polsek,2025-04-25 09:50:48.668414+00,2025-04-25 09:50:48.668414+00,"Jl. DR. Wahidin, Krajan II, Kalisat, Kec. Kalisat, Kabupaten Jember, Jawa Timur 68161",,-8.12827971055135,113.812388432633,0101000020E6100000AD730D2CFE735C40E61DD3E0AD4120C0,0331591110
UT-0098,350924,Polsek Pakusari,Unit Pakusari is categorized as POLSEK and operates in the Pakusari area.,polsek,2025-04-25 09:50:48.679684+00,2025-04-25 09:50:48.679684+00,"Jl. Supriadi No.101, Krajan Selatan, Patemon, Kec. Pakusari, Kabupaten Jember, Jawa Timur 68191",,-8.12219680795897,113.747316126802,0101000020E6100000D5180507D46F5C40FFB77B94903E20C0,0331540116
UT-0099,350925,Polsek Jelbuk,Unit Jelbuk is categorized as POLSEK and operates in the Jelbuk area.,polsek,2025-04-25 09:50:48.69245+00,2025-04-25 09:50:48.69245+00,"Leces II, Sukojember, Kec. Jelbuk, Kabupaten Jember, Jawa Timur 68192",,-8.0688670910945,113.764847627086,0101000020E61000007C307643F3705C40060B208C422320C0,0331540110